"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 16 20:49:08 GMT 2021","Tue Feb 16 20:49:12 GMT 2021","3854","","ru.vasiljev.a.a.PostImageUpload","","ru.vasiljev.a.a.PostImageUpload","uploadFileTest","uploadFileTest()",""
"passed","Wed Feb 17 09:36:11 GMT 2021","Wed Feb 17 09:36:13 GMT 2021","2362","","ru.vasiljev.a.a.PostImageUpload","","ru.vasiljev.a.a.PostImageUpload","uploadFileSmallBmpPositiveTest","uploadFileSmallBmpPositiveTest()",""
